date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2015/9/14,2228.15,6049.79,3281.13,1818.88
2015/9/15,2175.17,5708.03,3152.23,1707.87
2015/9/16,2241.95,6084.84,3309.25,1835.35
2015/9/17,2194.82,5965.41,3237,1835.67
2015/9/18,2198.99,6036.88,3251.27,1893.25
2015/9/21,2214.45,6250.44,3308.25,1989.01
2015/9/22,2237.31,6295.93,3339.03,1987.09
2015/9/23,2178.55,6224.6,3263.03,1992.03
2015/9/24,2188.09,6315.11,3285,2026.03
2015/9/25,2183.4,6108.38,3231.95,1949.77
2015/9/28,2169.94,6219.69,3242.75,2045.08
2015/9/29,2127.2,6103.61,3178.85,2021.07
2015/9/30,2146.12,6123.73,3202.95,2002.07
2015/10/8,2191.34,6372.49,3296.48,2101.29
2015/10/9,2219.29,6470.05,3340.12,2123.52
2015/10/12,2283.43,6718.72,3447.69,2215.92
2015/10/13,2270.95,6802.08,3445.04,2237.96
2015/10/14,2253.91,6724.5,3406.11,2206.16
2015/10/15,2297.9,6929.24,3486.82,2304.08
2015/10/16,2323.78,7047.56,3534.07,2359.79
2015/10/19,2318.47,7047.37,3534.18,2346.24
2015/10/20,2337.08,7162.07,3577.7,2424.25
2015/10/21,2340.36,6712.74,3473.25,2265.73
2015/10/22,2331.79,6964.3,3524.53,2370.15
2015/10/23,2343.97,7138.23,3571.24,2454.36
2015/10/26,2350.02,7186.76,3589.26,2445.2
2015/10/27,2349.9,7231.44,3592.88,2490.76
2015/10/28,2310.7,7048.9,3524.92,2413.55
2015/10/29,2307.34,7108.98,3533.31,2415.01
2015/10/30,2312.97,7084.97,3534.08,2400.11
2015/11/2,2280.09,6936.43,3475.96,2351.44
2015/11/3,2271.65,6920.1,3465.49,2350.34
2015/11/4,2370.5,7267.99,3628.54,2500.03
2015/11/5,2440.65,7276.45,3705.97,2489.56
2015/11/6,2493.48,7446.85,3793.37,2581.94
2015/11/9,2534.08,7543.8,3840.36,2638.33
2015/11/10,2522.68,7575.01,3833.24,2666.7
2015/11/11,2505.83,7684.67,3833.65,2716.2
2015/11/12,2476.43,7682.45,3795.32,2671.51
2015/11/13,2447.77,7567.11,3746.24,2607.54
2015/11/16,2447.29,7718.85,3764.13,2698.84
2015/11/17,2453.26,7650.38,3758.39,2618.35
2015/11/18,2439.45,7526.94,3715.58,2568.93
2015/11/19,2468.49,7718.62,3774.97,2673.99
2015/11/20,2466.76,7806.27,3774.38,2685.26
2015/11/23,2456.84,7744.18,3753.34,2661.57
2015/11/24,2447.9,7798.5,3753.89,2699.06
2015/11/25,2459.56,7922.38,3781.61,2769.89
2015/11/26,2450.96,7874.08,3759.43,2691.24
2015/11/27,2334.44,7376.12,3556.99,2520.64
2015/11/30,2336.29,7408.4,3566.41,2544.23
2015/12/1,2344.83,7443.94,3591.7,2540.54
2015/12/2,2458.41,7405.86,3721.95,2511.32
2015/12/3,2461.45,7570.51,3749.3,2606.06
2015/12/4,2397.56,7511.68,3677.59,2588.16
2015/12/7,2395.58,7602.23,3687.61,2640.37
2015/12/8,2364.34,7404.14,3623.02,2597.43
2015/12/9,2369.74,7374.27,3635.94,2569.08
2015/12/10,2357.21,7350.21,3623.08,2598.07
2015/12/11,2342.45,7290.7,3608.06,2571.55
2015/12/14,2414.92,7441.03,3711.32,2616.44
2015/12/15,2383.83,7498.18,3694.39,2645.14
2015/12/16,2376.53,7529.4,3685.44,2655.11
2015/12/17,2408.32,7716.25,3755.89,2720.64
2015/12/18,2422.84,7699.37,3767.91,2720.44
2015/12/21,2500.06,7788.56,3865.97,2720.42
2015/12/22,2496.05,7856.61,3876.73,2729.72
2015/12/23,2503.06,7773.28,3866.38,2672.01
2015/12/24,2481.75,7753.04,3829.4,2684.15
2015/12/25,2492.34,7792.12,3838.2,2681.54
2015/12/28,2411.41,7603.36,3727.63,2632.66
2015/12/29,2432.88,7674.39,3761.88,2644.68
2015/12/30,2432.77,7741.05,3765.18,2663.5
2015/12/31,2420.8,7617.69,3731.01,2596.07
2016/1/4,2270.46,6983.4,3469.07,2385.39
2016/1/5,2288.11,6889.74,3478.78,2319.52
2016/1/6,2317.65,7065.61,3539.81,2365.68
2016/1/7,2180.59,6462.24,3294.38,2166.16
2016/1/8,2219.61,6570.43,3361.56,2157.01
2016/1/11,2120.23,6128.66,3192.45,2028.78
2016/1/12,2131.37,6136.66,3215.71,2066.99
2016/1/13,2105.51,5924.04,3155.88,1981.38
2016/1/14,2132.08,6124.82,3221.57,2093.75
2016/1/15,2070.93,5893.68,3118.73,2033.88
2016/1/18,2069.27,5978.91,3130.73,2096.91
2016/1/19,2128.57,6197.09,3223.13,2155.34
2016/1/20,2088.72,6138.5,3174.38,2115.68
2016/1/21,2040.98,5886.88,3081.35,2025.82
2016/1/22,2061.96,5980.61,3113.46,2071.3
